X,Y,Z
39.926,116.690,-155.000
38.958,115.896,-155.000
38.025,115.063,-155.000
37.102,114.218,-155.000
36.179,113.372,-155.000
35.257,112.527,-155.000
34.330,111.686,-155.000
33.353,110.904,-155.000
32.227,110.365,-155.000
30.982,110.268,-155.000
29.745,110.445,-155.000
28.561,110.838,-155.000
27.509,111.505,-155.000
26.600,112.364,-155.000
25.757,113.289,-155.000
24.923,114.222,-155.000
24.069,115.137,-155.000
23.159,115.994,-155.000
22.165,116.752,-155.000
21.087,117.382,-155.000
19.921,117.821,-155.000
18.689,117.981,-155.000
17.455,117.826,-155.000
16.292,117.385,-155.000
15.266,116.685,-155.000
14.470,115.735,-155.000
13.994,114.591,-155.000
13.819,113.358,-155.000
13.887,112.113,-155.000
14.204,110.908,-155.000
14.741,109.781,-155.000
15.387,108.710,-155.000
16.061,107.655,-155.000
16.738,106.602,-155.000
17.415,105.550,-155.000
18.086,104.493,-155.000
18.721,103.415,-155.000
19.257,102.286,-155.000
19.661,101.102,-155.000
19.974,99.891,-155.000
20.258,98.672,-155.000
20.540,97.453,-155.000
20.812,96.231,-155.000
21.040,95.001,-155.000
21.181,93.758,-155.000
21.237,92.508,-155.000
21.245,91.256,-155.000
21.197,90.006,-155.000
21.007,88.770,-155.000
20.616,87.583,-155.000
20.046,86.470,-155.000
19.178,85.589,-155.000
17.978,85.287,-155.000
16.729,85.341,-155.000
15.486,85.486,-155.000
14.244,85.641,-155.000
13.002,85.797,-155.000
11.758,85.936,-155.000
10.512,85.967,-155.000
9.310,85.686,-155.000
8.274,85.009,-155.000
7.487,84.050,-155.000
7.061,82.890,-155.000
7.056,81.650,-155.000
7.372,80.445,-155.000
7.875,79.301,-155.000
8.487,78.210,-155.000
9.210,77.189,-155.000
10.032,76.247,-155.000
10.903,75.349,-155.000
11.787,74.463,-155.000
12.665,73.570,-155.000
13.478,72.620,-155.000
14.065,71.518,-155.000
14.265,70.284,-155.000
14.257,69.033,-155.000
14.204,67.782,-155.000
14.152,66.532,-155.000
14.100,65.281,-155.000
14.048,64.031,-155.000
13.996,62.781,-155.000
13.944,61.530,-155.000
13.891,60.280,-155.000
13.811,59.032,-155.000
13.509,57.835,-155.000
12.590,57.080,-155.000
11.364,56.895,-155.000
10.113,56.875,-155.000
8.861,56.875,-155.000
7.610,56.873,-155.000
6.358,56.856,-155.000
5.108,56.795,-155.000
3.864,56.668,-155.000
2.625,56.492,-155.000
1.389,56.297,-155.000
0.153,56.099,-155.000
-1.083,55.902,-155.000
-2.319,55.704,-155.000
-3.555,55.506,-155.000
-4.790,55.309,-155.000
-6.026,55.111,-155.000
-7.262,54.913,-155.000
-8.497,54.712,-155.000
-9.730,54.494,-155.000
-10.955,54.241,-155.000
-12.172,53.948,-155.000
-13.382,53.632,-155.000
-14.591,53.307,-155.000
-15.800,52.982,-155.000
-17.008,52.656,-155.000
-18.217,52.331,-155.000
-19.425,52.006,-155.000
-20.634,51.680,-155.000
-21.842,51.355,-155.000
-23.050,51.030,-155.000
-24.259,50.703,-155.000
-25.464,50.367,-155.000
-26.658,49.993,-155.000
-27.833,49.564,-155.000
-28.992,49.090,-155.000
-30.143,48.599,-155.000
-31.293,48.106,-155.000
-32.444,47.613,-155.000
-33.597,47.128,-155.000
-34.767,46.685,-155.000
-35.968,46.337,-155.000
-37.197,46.103,-155.000
-38.438,45.940,-155.000
-39.686,45.859,-155.000
-40.904,46.103,-155.000
-41.792,46.976,-155.000
-42.547,47.973,-155.000
-43.384,48.902,-155.000
-44.282,49.774,-155.000
-45.192,50.633,-155.000
-46.102,51.492,-155.000
-47.012,52.352,-155.000
-47.922,53.211,-155.000
-48.832,54.070,-155.000
-49.742,54.930,-155.000
-50.651,55.789,-155.000
-51.558,56.652,-155.000
-52.441,57.538,-155.000
-53.265,58.479,-155.000
-54.014,59.481,-155.000
-54.719,60.515,-155.000
-55.405,61.562,-155.000
-56.024,62.647,-155.000
-56.413,63.824,-155.000
-56.441,65.066,-155.000
-56.219,66.295,-155.000
-55.876,67.498,-155.000
-55.412,68.657,-155.000
-54.803,69.748,-155.000
-54.095,70.779,-155.000
-53.349,71.784,-155.000
-52.598,72.785,-155.000
-51.848,73.787,-155.000
-51.113,74.800,-155.000
-50.462,75.866,-155.000
-49.986,77.018,-155.000
-49.708,78.234,-155.000
-49.626,79.479,-155.000
-49.800,80.711,-155.000
-50.278,81.858,-155.000
-51.144,82.739,-155.000
-52.342,83.055,-155.000
-53.586,82.959,-155.000
-54.764,82.551,-155.000
-55.822,81.887,-155.000
-56.817,81.127,-155.000
-57.842,80.412,-155.000
-58.945,79.824,-155.000
-60.116,79.391,-155.000
-61.339,79.153,-155.000
-62.578,79.219,-155.000
-63.755,79.617,-155.000
-64.803,80.288,-155.000
-65.683,81.170,-155.000
-66.435,82.169,-155.000
-67.135,83.206,-155.000
-67.809,84.260,-155.000
-68.415,85.354,-155.000
-68.895,86.507,-155.000
-69.259,87.703,-155.000
-69.558,88.919,-155.000
-69.781,90.149,-155.000
-69.877,91.395,-155.000
-69.856,92.645,-155.000
-69.782,93.895,-155.000
-69.699,95.143,-155.000
-69.616,96.392,-155.000
-69.525,97.640,-155.000
-69.391,98.884,-155.000
-69.157,100.112,-155.000
-68.799,101.310,-155.000
-68.359,102.481,-155.000
-67.891,103.642,-155.000
-67.419,104.801,-155.000
-66.947,105.960,-155.000
-66.475,107.119,-155.000
-66.003,108.278,-155.000
-65.530,109.437,-155.000
-65.058,110.596,-155.000
-64.586,111.755,-155.000
-64.114,112.914,-155.000
-63.642,114.073,-155.000
-63.196,115.242,-155.000
-62.882,116.450,-155.000
-62.867,117.692,-155.000
-63.262,118.866,-155.000
-64.061,119.816,-155.000
-65.136,120.447,-155.000
-66.331,120.816,-155.000
-67.560,121.052,-155.000
-68.795,121.257,-155.000
-70.029,121.463,-155.000
-71.264,121.669,-155.000
-72.498,121.875,-155.000
-76.875,25.625,-155.000
-75.597,25.625,-155.000
-74.318,25.625,-155.000
-73.041,25.604,-155.000
-71.768,25.492,-155.000
-70.522,25.211,-155.000
-69.320,24.778,-155.000
-68.170,24.225,-155.000
-67.149,23.470,-155.000
-66.431,22.434,-155.000
-66.242,21.203,-155.000
-66.762,20.079,-155.000
-67.810,19.379,-155.000
-69.037,19.031,-155.000
-70.295,18.805,-155.000
-71.556,18.595,-155.000
-72.822,18.420,-155.000
-74.098,18.392,-155.000
-75.356,18.612,-155.000
-76.569,19.013,-155.000
-77.758,19.483,-155.000
-78.918,20.016,-155.000
-79.919,20.779,-155.000
-80.436,21.909,-155.000
-80.319,23.155,-155.000
-79.615,24.199,-155.000
-78.591,24.960,-155.000
-77.500,25.625,-155.000
-33.125,10.625,-155.000
-34.119,9.857,-155.000
-35.052,9.016,-155.000
-35.839,8.039,-155.000
-36.425,6.929,-155.000
-36.809,5.734,-155.000
-37.032,4.498,-155.000
-37.174,3.250,-155.000
-37.278,1.999,-155.000
-37.284,0.745,-155.000
-37.062,-0.487,-155.000
-36.549,-1.627,-155.000
-35.774,-2.609,-155.000
-34.815,-3.416,-155.000
-33.750,-4.078,-155.000
-32.590,-4.537,-155.000
-31.352,-4.672,-155.000
-30.122,-4.469,-155.000
-29.017,-3.907,-155.000
-28.172,-2.997,-155.000
-27.534,-1.918,-155.000
-26.989,-0.787,-155.000
-26.561,0.392,-155.000
-26.328,1.622,-155.000
-26.260,2.875,-155.000
-26.279,4.130,-155.000
-26.408,5.379,-155.000
-26.715,6.594,-155.000
-27.227,7.738,-155.000
-27.972,8.743,-155.000
-28.938,9.540,-155.000
-30.049,10.123,-155.000
-31.253,10.474,-155.000
-32.500,10.625,-155.000
17.500,2.500,-155.000
16.260,2.309,-155.000
15.020,2.119,-155.000
13.780,1.928,-155.000
12.541,1.737,-155.000
11.302,1.540,-155.000
10.068,1.313,-155.000
8.848,1.022,-155.000
7.645,0.666,-155.000
6.453,0.276,-155.000
5.263,-0.121,-155.000
4.074,-0.520,-155.000
2.892,-0.940,-155.000
1.734,-1.423,-155.000
0.613,-1.986,-155.000
-0.482,-2.597,-155.000
-1.571,-3.219,-155.000
-2.661,-3.842,-155.000
-3.750,-4.464,-155.000
-4.837,-5.089,-155.000
-5.908,-5.742,-155.000
-6.922,-6.480,-155.000
-7.850,-7.323,-155.000
-8.720,-8.227,-155.000
-9.576,-9.144,-155.000
-10.432,-10.061,-155.000
-11.288,-10.978,-155.000
-12.144,-11.895,-155.000
-13.000,-12.812,-155.000
-13.854,-13.731,-155.000
-14.689,-14.666,-155.000
-15.459,-15.656,-155.000
-16.128,-16.716,-155.000
-16.720,-17.822,-155.000
-17.284,-18.943,-155.000
-17.845,-20.065,-155.000
-18.402,-21.189,-155.000
-18.938,-22.322,-155.000
-19.421,-23.480,-155.000
-19.838,-24.663,-155.000
-20.216,-25.859,-155.000
-20.585,-27.058,-155.000
-20.953,-28.257,-155.000
-21.307,-29.460,-155.000
-21.605,-30.678,-155.000
-21.791,-31.918,-155.000
-21.863,-33.170,-155.000
-21.875,-34.424,-155.000
-21.875,-35.678,-155.000
-21.875,-36.933,-155.000
-21.875,-38.187,-155.000
-21.873,-39.442,-155.000
-21.853,-40.696,-155.000
-21.768,-41.946,-155.000
-21.559,-43.182,-155.000
-21.231,-44.392,-155.000
-20.846,-45.586,-155.000
-20.450,-46.776,-155.000
-20.048,-47.964,-155.000
-19.617,-49.142,-155.000
-19.112,-50.289,-155.000
-18.523,-51.396,-155.000
-17.888,-52.478,-155.000
-17.242,-53.553,-155.000
-16.586,-54.623,-155.000
-15.891,-55.666,-155.000
-15.121,-56.655,-155.000
-14.277,-57.583,-155.000
-13.397,-58.476,-155.000
-12.499,-59.352,-155.000
-11.567,-60.191,-155.000
-10.574,-60.956,-155.000
-9.528,-61.647,-155.000
-8.457,-62.301,-155.000
-7.379,-62.943,-155.000
-6.287,-63.559,-155.000
-5.155,-64.094,-155.000
-3.970,-64.500,-155.000
-2.751,-64.794,-155.000
-1.521,-65.038,-155.000
-0.288,-65.272,-155.000
0.944,-65.507,-155.000
2.176,-65.742,-155.000
3.409,-65.977,-155.000
4.641,-66.211,-155.000
5.874,-66.441,-155.000
7.112,-66.645,-155.000
8.357,-66.787,-155.000
9.609,-66.854,-155.000
10.864,-66.873,-155.000
12.118,-66.871,-155.000
13.372,-66.842,-155.000
14.623,-66.757,-155.000
15.868,-66.608,-155.000
17.108,-66.418,-155.000
18.346,-66.213,-155.000
19.583,-66.007,-155.000
20.820,-65.801,-155.000
22.058,-65.595,-155.000
23.294,-65.382,-155.000
24.524,-65.135,-155.000
25.733,-64.807,-155.000
26.912,-64.380,-155.000
28.065,-63.887,-155.000
29.208,-63.371,-155.000
30.350,-62.852,-155.000
31.492,-62.333,-155.000
32.634,-61.814,-155.000
33.776,-61.295,-155.000
34.918,-60.776,-155.000
36.060,-60.257,-155.000
37.199,-59.730,-155.000
38.316,-59.161,-155.000
39.376,-58.494,-155.000
40.353,-57.710,-155.000
41.267,-56.851,-155.000
42.157,-55.968,-155.000
43.044,-55.081,-155.000
43.931,-54.194,-155.000
44.818,-53.307,-155.000
45.705,-52.420,-155.000
46.592,-51.533,-155.000
47.479,-50.646,-155.000
